,2,3,4,5,6,7,8,9,10,A
4,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
9,H,D,D,D,D,H,H,H,H,H
10,D,D,D,D,D,D,D,D,H,H
11,D,D,D,D,D,D,D,D,D,D
12,H,H,S,S,S,H,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H
14,S,S,S,S,S,H,H,H,H,H
15,S,S,S,S,S,H,H,H,SUR,H
16,S,S,S,S,S,H,H,SUR,SUR,SUR
17,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
21,S,S,S,S,S,S,S,S,S,S
A-2,H,H,H,D,D,H,H,H,H,H
A-3,H,H,H,D,D,H,H,H,H,H
A-4,H,H,D,D,D,H,H,H,H,H
A-5,H,H,D,D,D,H,H,H,H,H
A-6,H,D,D,D,D,H,H,H,H,H
A-7,Ds,Ds,Ds,Ds,Ds,S,S,H,H,H
A-8,S,S,S,S,Ds,S,S,S,S,S
A-9,S,S,S,S,S,S,S,S,S,S
A-10,S,S,S,S,S,S,S,S,S,S
2-2,Y/N,Y/N,Y,Y,Y,Y,N,N,N,N
3-3,Y/N,Y/N,Y,Y,Y,Y,N,N,N,N
4-4,N,N,N,Y/N,Y/N,N,N,N,N,N
5-5,N,N,N,N,N,N,N,N,N,N
6-6,Y/N,Y,Y,Y,Y,N,N,N,N,N
7-7,Y,Y,Y,Y,Y,Y,N,N,N,N
8-8,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
9-9,Y,Y,Y,Y,Y,N,Y,Y,N,N
10-10,N,N,N,N,N,N,N,N,N,N
A-A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
